Basic EPS (Rs.),CNX Nifty (Open),Market to book value ratio,Nifty Sector,Intercept
-8.180755594047456,0.019291998100029795,12.323611128208462,0.12226339978226547,-9.596477562525024
-1.284387998502221,0.012305971867900889,136.8765058012384,0.0065980074913470806,-76.36568564629806
-1.8158610073902153,0.17519229214491364,252.75487531043652,-0.007719674214789085,115.25225279949018
10.647565607037635,0.014914434694508566,38.74722304649533,0.05440841762420783,-675.8901545361239
-2.2546584453842455,0.016921518213619327,-34.994297752185105,0.21078585496076443,-259.22148522640583
-10.309967856860911,-0.2807021867027305,87.12871951528696,0.481062724260334,-3440.686041397521
0.221062557943918,-0.04630620247956039,188.97506702441342,0.03600068669044906,-10.97182893785191
-0.033973912596552434,-0.02736398236735647,13.815691494457385,0.052569849134794316,166.17543914804583
52.29668612254452,0.0724680893218356,49.972804086657355,0.009852388903446821,-765.304879749664
-3.6462309626772185,0.2817498516134739,-96.1448193041042,-0.23079737447168386,-892.94739941216
